Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDE52,OUT045,1431.372967224857
FDW12,OUT035,2356.0482558146327
FDL51,OUT017,3489.90371316282
NCY42,OUT027,3543.333365023326
FDR07,OUT017,1628.3761479497387
FDN40,OUT045,2413.3060023958583
FDB35,OUT027,2429.752975317476
FDA22,OUT017,2553.5177637362517
NCL06,OUT046,4341.110309836833
FDI35,OUT013,3131.051036543357
NCW42,OUT045,3713.50030991477
NCX06,OUT049,3137.3440063908392
FDC37,OUT027,2813.349645973241
FDZ14,OUT018,1635.3301117840842
DRG49,OUT049,4282.05383591908
NCG06,OUT045,3953.7327218206433
DRC36,OUT045,2596.1050851448754
FDV21,OUT019,360.1764322706982
FDB53,OUT046,2559.3298744938534
DRP47,OUT019,597.4992469734196
FDA14,OUT013,2393.986653114247
DRC24,OUT035,2705.1229880017036
FDW21,OUT018,1484.2540059305031
NCH29,OUT046,1635.8077885878552
FDU58,OUT013,2999.5159629648283
FDY27,OUT017,2866.493962233112
FDV56,OUT035,1730.6887583733828
FDT59,OUT046,3953.5360711451444
FDB23,OUT046,3787.8617750513135
FDR49,OUT045,718.398100267477
FDB03,OUT010,619.8885542150964
FDN39,OUT045,2667.278809728811
FDX02,OUT027,6003.39977744174
FDQ16,OUT027,2756.379566072223
FDU35,OUT018,1369.5886460443267
NCT29,OUT013,1949.586673940997
FDZ27,OUT046,755.9658222774431
FDN57,OUT017,2528.282261042049
FDA03,OUT018,2020.9411370683986
FDZ36,OUT045,3137.6971558300093
NCU05,OUT013,1317.2618410718303
FDT39,OUT018,2121.612144458609
FDK60,OUT017,1562.5530514547422
FDZ25,OUT017,2848.7566684303833
FDG12,OUT046,2094.0695205718025
DRB01,OUT019,478.30994001679926
NCC43,OUT027,6277.133374722182
FDX13,OUT019,624.1395911920838
FDM22,OUT049,809.1521788344271
FDJ03,OUT027,1309.0504051209048
FDU14,OUT018,3507.421786833712
FDB33,OUT010,398.95103106261365
FDP27,OUT046,3254.497439869859
FDO38,OUT010,178.3224320464633
FDE28,OUT027,6199.572070420045
FDO27,OUT035,1619.1391164159127
DRL23,OUT027,2765.37754240164
FDS28,OUT046,927.6049844905443
FDX24,OUT013,1607.8388239294352
FDZ02,OUT035,1491.959586152217
FDL46,OUT045,1815.197320287897
FDS60,OUT027,5121.382732086066
NCO06,OUT017,557.2092148161395
FDO16,OUT035,1521.242113579288
FDC60,OUT049,1450.9813722753315
FDA48,OUT018,3054.2333343670057
FDZ36,OUT027,4803.481751223181
FDK27,OUT045,1838.8814343896047
FDW23,OUT018,462.07846363021144
FDM14,OUT018,1632.323460430999
FDM14,OUT013,1878.210913131405
FDW60,OUT018,2623.574505812706
FDE21,OUT013,1907.47651600595
NCM42,OUT035,1701.9651899209152
FDY59,OUT010,241.91634671660876
DRI49,OUT049,1323.6339733818177
FDT28,OUT019,345.4631229286744
FDQ22,OUT018,488.63912841820667
FDR60,OUT049,1208.913003647234
FDC50,OUT019,238.60401418798338
FDV24,OUT013,2403.1793875911044
DRF48,OUT010,529.6120321581709
FDQ47,OUT046,640.494422551835
DRN36,OUT049,1542.2963018596342
NCY06,OUT035,2052.4282885893417
FDE52,OUT035,1555.6862053111129
NCB54,OUT045,1923.7504673167864
NCF31,OUT035,2518.205218918208
FDJ08,OUT027,5318.8890707055825
NCC07,OUT017,1700.2596891711478
NCD19,OUT027,1471.370213099965
FDL46,OUT049,1861.199264184886
FDM20,OUT045,3813.3624747629046
NCI06,OUT010,463.2840786792328
DRM11,OUT035,4734.043383025032
NCH07,OUT018,2243.2481657173307
FDS23,OUT013,2236.911255428769
FDO49,OUT018,686.1495698989663
FDS35,OUT049,1022.4860589576929
DRK39,OUT045,1332.2028814649648
DRI39,OUT049,950.7880890452577
FDV04,OUT017,2480.4390002949885
NCN14,OUT035,2945.971691925228
FDH08,OUT013,3648.794481910726
FDS20,OUT046,3159.986061346952
FDV40,OUT049,1258.6760391173677
FDZ48,OUT010,257.9083583943184
FDS24,OUT027,2343.393950114646
FDK44,OUT049,2750.647810948062
FDS48,OUT045,2476.8120898555617
FDK26,OUT010,538.125672126471
FDD23,OUT045,3035.535708919549
NCH54,OUT017,2781.9740958888683
NCP14,OUT010,259.22171905807943
FDM60,OUT010,90.90928667944627
FDV24,OUT017,2596.2273856131305
FDH08,OUT018,3093.6441808581476
FDS12,OUT027,3314.753486549437
FDR39,OUT027,4880.350121712487
FDP12,OUT027,928.998831121161
DRF60,OUT027,6282.201767027216
FDC09,OUT035,1704.482180094437
FDF50,OUT018,2856.6165017566373
FDG28,OUT035,3838.074792812159
NCE19,OUT017,896.7872132429986
NCM53,OUT010,256.41020510767964
NCN18,OUT049,1773.5454596978882
FDF32,OUT035,3299.4119509100674
FDF11,OUT013,4010.73006357981
DRI59,OUT049,3772.0786354718657
NCG54,OUT035,2972.324432818438
FDM44,OUT046,1633.626837524462
FDT57,OUT018,3143.630718631442
FDV24,OUT046,2531.0916878042963
FDI50,OUT019,590.8878979221481
FDS09,OUT035,862.1655869057097
NCC31,OUT027,3908.8831418763484
FDQ07,OUT019,564.7174692068836
FDC22,OUT017,3150.455822858877
FDZ56,OUT046,2799.8457685458993
FDZ40,OUT019,137.36188410346395
FDS46,OUT027,3004.2338083955337
DRD24,OUT045,2086.183238911237
FDV45,OUT017,3170.425480196391
FDL26,OUT045,2462.535545971884
FDA56,OUT018,1733.004492884648
FDN27,OUT046,1822.3337594497746
FDM20,OUT049,3956.5662374018384
FDO16,OUT017,1497.3379024477958
FDL03,OUT035,3260.7125242456377
FDE58,OUT046,2000.3183893551911
FDI02,OUT027,3054.370231372277
NCC55,OUT019,90.52002328562904
FDR03,OUT018,3036.7044634652834
FDB14,OUT017,1662.4353291025768
FDR45,OUT013,4043.2461347621456
NCN07,OUT017,2086.5519217649585
FDM51,OUT019,274.3709126593716
FDT52,OUT027,6556.2559884545435
FDL26,OUT046,2592.1181332931515
NCZ42,OUT046,3908.9929234400233
DRI47,OUT019,355.9972492032155
FDW40,OUT013,2412.828619610656
FDN34,OUT046,2849.3716411080727
FDS01,OUT035,3085.1916567608314
NCG55,OUT045,1792.997456080037
FDC11,OUT035,1425.0798300149222
FDX35,OUT018,3227.2370821265517
NCB06,OUT046,2438.3151873784996
FDR09,OUT019,631.1992727767283
FDC53,OUT017,1612.9526077812188
FDY45,OUT013,4256.430490904411
FDA22,OUT010,450.7315818752254
FDE02,OUT035,1584.5050683601296
FDW21,OUT045,1608.5426413579712
FDV34,OUT046,1204.138116750889
FDS59,OUT049,1886.4567549868946
NCW17,OUT017,2244.464272212095
NCK54,OUT046,1879.733552773828
FDG17,OUT019,595.1586049806583
FDG35,OUT017,2832.067148617835
FDD08,OUT010,91.90504230147079
NCO07,OUT017,3453.2151955957247
FDJ10,OUT010,352.51889789717103
FDW36,OUT017,1676.4804164713587
FDW21,OUT010,254.93798917773924
FDY19,OUT017,2021.40204125015
DRE03,OUT013,747.8998065146167
NCC55,OUT049,666.1987956891903
FDH52,OUT010,156.10243324471216
FDO09,OUT017,4525.900547520663
FDU43,OUT045,3836.5044479137005
FDX09,OUT010,428.4954212343955
FDH40,OUT019,203.14284275365316
FDW58,OUT017,1707.4239977463628
FDC47,OUT017,3812.7316921064207
NCR41,OUT035,1538.383981302557
DRG49,OUT035,4495.511052287291
FDC52,OUT027,4027.1377858920882
FDY13,OUT046,1233.1895712456137
FDY35,OUT013,728.8787000156743
FDI35,OUT017,3260.7717993375136
NCU18,OUT049,2406.9164971927066
FDY33,OUT018,2177.631412034719
FDC15,OUT027,4139.834136821129
FDU01,OUT049,3178.861658662953
NCU42,OUT046,2956.422733895187
NCV29,OUT018,2569.541192209883
NCY30,OUT017,3080.931871666965
FDQ46,OUT049,1881.8880436983363
FDG58,OUT027,4201.292576095216
FDK33,OUT017,3994.986852113418
NCD07,OUT045,1788.2859206614714
NCX29,OUT027,3851.1696964446937
NCT42,OUT013,2471.1737039764444
DRN59,OUT035,740.0650700394215
FDI44,OUT035,1289.2073259144624
FDA45,OUT049,2776.906081794659
FDP31,OUT045,1027.5375723459383
FDY01,OUT046,1934.0372898428627
FDT09,OUT018,1811.3195955927852
DRH03,OUT027,2598.7466344978666
FDA36,OUT018,2748.2414914518918
NCF31,OUT017,2518.300279741063
FDG14,OUT049,2525.57506462075
FDG28,OUT027,6594.8468281348205
FDU14,OUT049,4042.760801495656
FDY47,OUT019,297.2240140186622
FDI56,OUT049,1487.977275134159
DRD01,OUT013,845.3744348502054
FDM22,OUT046,887.4700933769063
FDH33,OUT013,667.2996262691806
DRZ24,OUT013,1990.5072531763192
NCQ38,OUT046,1719.8125751342807
FDO16,OUT027,2069.43344022133
FDU07,OUT027,4058.7106757159186
NCB07,OUT013,3066.5538361827894
FDU48,OUT045,1980.0619347227541
NCM43,OUT045,2639.657930362792
FDR31,OUT010,356.18679541186106
DRK49,OUT018,489.85100968863134
NCI30,OUT010,645.2087453485007
DRD60,OUT017,3162.843262183364
NCG19,OUT046,3766.3821150708136
FDH12,OUT035,1697.7639957642975
FDM32,OUT035,1471.8721458622135
FDM27,OUT035,2613.102423206244
NCU53,OUT027,4076.288043120313
NCQ18,OUT046,1808.4125059007106
FDS10,OUT013,2785.817199450088
FDB33,OUT027,4359.063311704311
FDI12,OUT013,1401.4196511461128
NCW42,OUT013,3693.050696361238
NCC06,OUT018,1731.6828077413877
FDW02,OUT017,2224.819042860098
NCD43,OUT017,1777.7085640114979
FDM57,OUT018,1114.780579278742
FDA58,OUT017,3779.8971382460018
FDK56,OUT046,2985.3426474044672
FDP52,OUT045,3631.0998844618684
FDW20,OUT018,1653.4230857039488
FDS52,OUT049,1638.9834553386197
NCT29,OUT018,1612.2284362828686
NCL54,OUT013,2926.61140808357
FDC05,OUT045,3157.309306750141
FDF34,OUT035,3219.0139039802257
FDP03,OUT027,3238.173406811834
FDD32,OUT010,211.70192275253766
FDZ10,OUT045,1963.1394747852441
FDZ40,OUT035,910.1289995207286
FDD51,OUT018,571.6036312926226
NCY30,OUT019,450.70420689159016
FDP58,OUT017,3584.5733938012954
FDV49,OUT017,4121.929379991376
FDY24,OUT019,133.1476483557946
NCO55,OUT017,1822.4856275846262
FDR13,OUT017,1841.5815226252114
FDS51,OUT017,998.5761261448057
FDP26,OUT045,1711.7634594608292
NCB54,OUT027,3557.460947605723
FDF32,OUT017,3499.6834425274515
FDN31,OUT018,2699.0069450728133
DRM48,OUT017,619.6117026321497
FDN20,OUT049,2951.978831288759
DRL01,OUT046,4107.250356136897
FDV56,OUT049,1699.504013704766
DRH13,OUT027,2936.8675276694294
FDA03,OUT017,2382.6597604562744
FDF47,OUT027,6500.521458043186
FDX32,OUT046,2339.938974648387
FDX57,OUT049,1556.6928315732378
NCA30,OUT045,3056.252155609744
FDO49,OUT013,784.822357727587
FDL04,OUT019,249.99659683704976
DRM48,OUT035,680.7739830129851
FDR16,OUT013,3817.73000120438
NCC19,OUT018,2687.5162629231786
NCE42,OUT045,3400.504501957773
FDY24,OUT017,1030.3792396138192
FDH19,OUT049,2972.330453386877
FDJ46,OUT013,2702.4175879142617
FDN45,OUT010,550.7341864397823
FDY08,OUT035,2288.084848702574
FDZ37,OUT035,1478.864766442628
NCT30,OUT045,741.1205852633993
DRY23,OUT018,555.7396379693434
NCZ30,OUT018,1783.1541616033646
FDC44,OUT018,1492.6380856758587
FDB45,OUT035,1692.7366198117802
FDY04,OUT013,2623.284215602945
FDM27,OUT046,2728.055213680972
FDZ43,OUT017,4154.570405367734
FDT39,OUT019,391.6855012230918
NCC06,OUT019,291.3236951946326
FDL15,OUT027,4047.8953740283773
FDL57,OUT017,4390.405142301604
FDU08,OUT046,1595.9555955331075
FDK40,OUT017,4380.84137568547
FDQ12,OUT010,590.2597124699041
FDS48,OUT017,2593.966739682237
FDP09,OUT045,3537.5326583717897
FDW21,OUT049,1706.4974491429407
FDY25,OUT035,3282.816188347738
DRE13,OUT017,1354.7349756574845
FDV43,OUT019,99.69107232355472
FDD22,OUT045,1794.8707224369348
FDM46,OUT019,214.76605752615515
NCO30,OUT010,499.80604205764087
FDM25,OUT046,2815.3385157765665
NCN41,OUT049,2119.6275866245765
FDU24,OUT045,1519.2144738265692
FDZ50,OUT046,3119.5662343186605
FDP45,OUT013,4033.6292462248516
NCM54,OUT045,1956.4981043911098
FDW10,OUT019,432.94630572110464
FDP20,OUT017,2009.9538871821999
FDK32,OUT046,2553.011877714757
FDN52,OUT049,1469.6632410721234
FDM58,OUT045,1733.038016164397
FDZ46,OUT027,3009.298913065303
NCA18,OUT018,1632.3853859199808
FDD35,OUT046,2023.0282432570523
NCK31,OUT035,744.5529181800317
FDI40,OUT027,2699.321883776497
FDT50,OUT019,230.5377196593452
NCT06,OUT046,2509.8924042471563
FDT31,OUT035,3136.310910237996
FDT45,OUT049,829.1666893874617
FDT13,OUT045,2985.0543023110577
FDO50,OUT045,1372.2472303457614
NCU18,OUT010,368.647763707873
NCR54,OUT049,3153.8688082563785
NCO18,OUT018,2529.9479253296645
FDU09,OUT045,935.9259592869757
FDT13,OUT018,2614.489428270689
FDE09,OUT046,1802.1988833693104
NCK53,OUT019,262.581314471252
FDG45,OUT049,3789.26366268744
DRH15,OUT035,795.6823532329297
FDO21,OUT019,562.5564923811648
FDD14,OUT027,5228.62380716226
FDC09,OUT046,1751.6365564812554
FDH45,OUT027,1122.763541819955
FDV32,OUT046,1121.0586778079419
FDG12,OUT035,2062.1468254963943
FDS32,OUT013,2137.8091643569833
NCL55,OUT018,3784.54246453819
DRE01,OUT035,4224.598949633691
DRE15,OUT049,1308.7348588787988
NCL42,OUT045,4017.882974688969
FDP31,OUT013,1019.4460757852528
FDN33,OUT018,1273.7152704147124
FDZ59,OUT046,2807.637881952635
FDE45,OUT010,455.91060889777583
FDJ07,OUT013,1988.593880649806
FDQ45,OUT018,2506.7182723094325
FDM33,OUT027,5849.630534127582
FDO15,OUT010,192.7165911119491
FDM46,OUT013,1462.013813772225
FDR03,OUT045,3274.616017688064
FDY49,OUT018,2241.4655099408747
FDQ60,OUT045,1984.1944119059758
FDW10,OUT049,2784.1809633128278
FDO51,OUT049,734.4751915048234
FDJ40,OUT018,1534.7608463873103
FDS20,OUT018,2531.8585231440193
FDU45,OUT013,1941.2087260947133
FDV02,OUT035,2842.201699659402
FDN09,OUT046,4073.340791632899
NCM55,OUT027,5272.226736347029
FDN23,OUT018,1959.087047858927
FDY31,OUT010,353.6630904047494
FDW03,OUT010,264.7593917051665
FDD14,OUT046,3326.807368205512
FDV23,OUT017,2014.188650695575
DRI03,OUT045,2907.1497461152635
FDN13,OUT035,1539.0627371877522
FDF45,OUT027,1734.5329893633375
FDU46,OUT035,1438.5657839456558
FDB57,OUT049,3550.0357333646984
FDV12,OUT049,1611.3084820493318
FDQ58,OUT013,2321.6092600467005
NCA18,OUT017,1911.7238551916894
FDH52,OUT049,1046.1690176240654
FDM24,OUT018,2050.288526322742
NCP43,OUT027,4686.990655204823
NCO18,OUT019,461.6661006211257
FDM32,OUT017,1484.4513373905618
NCL07,OUT017,623.4588665198845
FDK03,OUT013,4089.6913626852934
FDP59,OUT017,1749.8037055092798
FDQ24,OUT049,3948.2329079965266
FDQ16,OUT018,1623.427283068037
FDU44,OUT013,2571.9072070325587
FDH28,OUT010,92.81670532215718
FDV28,OUT019,92.91775179468218
FDM22,OUT045,830.4919909982669
FDR56,OUT046,3087.794901027394
FDV39,OUT049,3269.53453254158
FDU37,OUT019,201.50234070082314
FDQ11,OUT010,679.274667449735
FDX02,OUT045,3784.6809685109315
NCS42,OUT018,1382.7580497707634
FDY57,OUT027,2508.6863450110313
FDB21,OUT049,4032.5366864060315
FDE28,OUT017,3703.8181390802083
FDQ55,OUT017,1968.2609009358835
FDA48,OUT049,3545.9504287715063
FDZ19,OUT045,2698.544839614585
NCC43,OUT045,3787.140940624966
NCV18,OUT046,1431.3046721574879
NCA42,OUT018,2304.1899933852023
FDY45,OUT046,3981.636078243703
NCC30,OUT045,2842.9055090102092
FDM57,OUT013,1390.7421545315644
FDL09,OUT010,428.3232525430743
FDB09,OUT027,3345.5497053453255
FDT44,OUT035,1934.0194007599289
NCT06,OUT027,4334.057271551952
FDX26,OUT049,3048.741071846307
FDK32,OUT013,2502.345743761705
DRA12,OUT046,2415.592933301639
FDO46,OUT010,496.18673624322935
FDE52,OUT013,1416.6431285201904
NCH42,OUT045,3733.508980084652
FDV08,OUT035,671.0458305985994
FDB47,OUT018,2838.3878289157255
FDC28,OUT010,264.5807465629787
FDD22,OUT046,1887.2014966011768
FDS07,OUT027,3060.163067555981
DRI13,OUT045,3307.5973774513927
FDG32,OUT018,3126.327084977195
FDU14,OUT017,3931.5130784021144
FDD28,OUT019,141.92649054357415
NCP41,OUT017,1804.2775441797069
FDS08,OUT049,2735.3436515263393
FDX47,OUT045,2356.646095228055
FDC53,OUT019,238.9916321577286
FDQ19,OUT035,3968.774549479314
FDL14,OUT045,2431.9654209164705
FDM33,OUT019,521.7928989058124
FDA51,OUT045,1671.5976131975804
FDZ27,OUT018,689.6263517025299
FDT04,OUT046,684.2659304145725
DRC13,OUT049,2149.6656553154585
FDR16,OUT027,5543.462514899909
FDQ03,OUT027,6381.994620697948
FDE38,OUT035,2878.3603004414445
DRH23,OUT027,1528.7405420786276
FDT11,OUT019,431.6863562200448
FDD09,OUT035,2960.434146009422
FDR40,OUT045,1257.2403292223423
FDX07,OUT017,3217.1800497437125
FDR07,OUT035,1611.3761672252692
FDA51,OUT017,1862.301977408705
FDT59,OUT019,625.3891268472844
FDF20,OUT017,3332.1251496629766
FDR13,OUT045,1861.683959451476
FDY26,OUT049,3492.749346757003
FDW04,OUT017,2136.726960304843
FDK52,OUT017,3765.8731085505738
FDN60,OUT049,2519.6397864406895
FDM09,OUT019,440.2418379073641
FDP46,OUT049,1437.0612734761621
FDB50,OUT019,194.32642178024997
NCQ29,OUT049,4312.329311515901
FDP16,OUT027,6347.717789514829
FDX33,OUT018,2201.5309839437164
FDP07,OUT010,495.8746377122473
FDN22,OUT046,4047.4963057922155
FDF39,OUT049,4564.311974700913
FDS21,OUT017,985.7023492307599
NCM42,OUT013,1713.0344908869017
FDK50,OUT019,414.047371718288
DRF13,OUT027,3934.523076414412
FDH35,OUT018,2223.1603865487696
FDP60,OUT018,1360.7876933053103
DRJ49,OUT027,3488.1831740146567
NCT42,OUT019,354.68382372814966
FDE38,OUT049,2702.031520243638
FDI04,OUT049,3409.2241166692584
NCH54,OUT045,2464.89618729522
FDT56,OUT049,946.1097424849515
DRD15,OUT018,3229.397983152673
FDV58,OUT013,2944.5397731717735
FDP21,OUT049,3270.894428043667
FDH05,OUT013,3587.774828161552
FDR10,OUT027,4290.279297433679
NCP06,OUT045,2310.4480537516556
FDF33,OUT049,1738.0777255443616
DRK37,OUT013,3293.4301385802
DRH49,OUT045,1434.2679680593717
FDT58,OUT013,2609.950779888066
FDD41,OUT018,1429.6797406539858
FDP40,OUT018,1609.8860606567148
FDM51,OUT027,2701.105309565146
FDO45,OUT010,220.82008407426574
FDW33,OUT010,253.0590436748999
FDY24,OUT045,948.3350625903571
FDB10,OUT010,617.3477343669368
FDM40,OUT035,2429.739244061833
NCI06,OUT017,3195.792843267448
FDW12,OUT019,346.6760515440439
FDX48,OUT027,4091.266284879617
NCW05,OUT027,2772.6789070052832
FDX27,OUT017,1600.0016218906371
DRM37,OUT045,3225.5983772266145
FDA38,OUT045,3946.0313281935173
FDR36,OUT046,688.9416140184705
FDZ45,OUT046,3329.8445685694433
FDG05,OUT017,2570.2976923065507
FDK28,OUT013,4549.435404475717
FDV47,OUT045,1334.48410725043
FDN21,OUT045,2531.717662911589
FDP20,OUT027,3492.830084478276
FDI35,OUT045,2987.360712991665
DRY23,OUT013,679.7133746378303
FDA56,OUT017,2092.8798325660914
FDB09,OUT013,2102.063378462358
NCO26,OUT027,3228.7266118412176
FDQ49,OUT018,2117.8373109476706
FDI52,OUT027,3173.676230495519
FDZ44,OUT027,3303.5790790997853
FDZ09,OUT018,2276.417855041144
FDY03,OUT049,1890.7795711329468
NCG42,OUT017,1993.895843487575
DRI13,OUT027,6246.357342735465
FDQ32,OUT013,2114.5106790153536
FDW16,OUT035,1505.6261512034393
FDU27,OUT046,759.8718523237626
FDR28,OUT010,418.6084707863686
FDQ49,OUT010,392.0579962374087
FDS37,OUT046,1935.2461886522615
FDW26,OUT018,3116.131209778375
FDX12,OUT018,3300.3393974415776
NCP06,OUT013,2359.524880061578
FDW45,OUT010,356.4656774487009
NCN30,OUT049,1549.1527151372122
FDN24,OUT049,899.1900587410104
NCL41,OUT027,887.1200890252463
FDR02,OUT019,268.3269798518189
FDD09,OUT010,444.9560686091584
FDS33,OUT010,199.21780752324264
FDU22,OUT045,1858.5304557660074
FDI53,OUT013,2601.369817444063
DRH01,OUT049,2817.962243739212
FDX32,OUT013,2278.636492005177
NCP30,OUT018,526.7302460256478
FDB60,OUT045,3083.2569833509065
FDB14,OUT049,1586.0515671038888
NCP02,OUT035,928.832347503371
FDJ10,OUT017,2435.471804094717
FDG34,OUT046,1782.7877206771573
NCB18,OUT017,1519.130859905507
FDM16,OUT049,1226.7886220249038
FDW25,OUT018,1226.186769728096
FDB35,OUT010,232.87730497671964
DRN11,OUT013,2354.3534062911635
FDF41,OUT019,617.416165369619
FDH16,OUT045,1370.4032755299309
NCQ50,OUT018,2972.7104494154873
DRH23,OUT018,756.1953508688051
DRJ37,OUT013,2459.234909779425
DRJ24,OUT027,5091.14839275671
FDY16,OUT035,3149.787696957495
FDQ27,OUT045,1696.1174367936565
FDZ33,OUT045,2344.8570637901385
FDF29,OUT045,2193.4776856833223
FDA08,OUT049,2876.457540718088
FDG31,OUT046,1101.3513782029872
FDE34,OUT019,442.96667322285447
NCR30,OUT027,2021.267056954209
FDV33,OUT035,4131.012342946173
DRZ24,OUT018,1655.3622970037097
NCL54,OUT035,2814.026127586163
FDR12,OUT049,2922.134116842318
NCC54,OUT046,3920.5254048669317
DRN59,OUT013,769.5806187552614
FDX50,OUT019,246.1257958962936
FDV31,OUT027,4905.2688543140275
NCA29,OUT027,4503.523392058807
FDW60,OUT049,2710.358686697392
FDX08,OUT017,2948.905114311419
DRD49,OUT013,3836.4095301776274
FDD33,OUT046,3845.403075768004
FDW35,OUT013,712.5637583422554
FDJ36,OUT017,1744.5464264343289
FDV51,OUT035,2746.239766425437
FDW36,OUT046,1746.7948594916047
FDH35,OUT046,2477.2220291411395
NCS30,OUT027,3217.09433818072
FDN49,OUT017,607.9842683248422
FDL08,OUT018,3186.5445844695705
FDI09,OUT013,3828.0871948112886
FDP19,OUT018,1716.4917508561462
FDU21,OUT010,82.24064940917015
NCP41,OUT045,1680.857265799425
FDY10,OUT013,1828.5166870403268
FDP12,OUT018,479.5133647984702
NCN26,OUT049,2014.1377047109243
FDK44,OUT013,2806.929736944551
FDC28,OUT049,1824.515773217463
FDJ41,OUT027,7029.608986404058
NCT29,OUT035,2044.7464724506322
NCH42,OUT019,549.6127251768091
FDU60,OUT018,2289.14176003583
FDS02,OUT045,3190.3399094962365
FDC51,OUT046,2083.8962427993088
FDU03,OUT013,3013.103145487071
FDX39,OUT045,3485.262121844148
NCY05,OUT010,91.12499057175539
NCL06,OUT027,6457.235821402938
FDD32,OUT035,1311.3605600465983
NCN41,OUT045,1882.222185555219
NCX53,OUT049,2506.247711772704
FDU57,OUT019,383.0512298935313
FDQ23,OUT046,1807.5177111959722
FDQ52,OUT045,4199.287830025104
FDC14,OUT045,634.4406262390687
FDY09,OUT035,3078.02021213539
FDQ28,OUT045,2601.087661731439
FDV25,OUT046,3885.5732144083004
FDJ07,OUT035,1965.3197486551592
DRB25,OUT049,1737.7018684909567
FDK52,OUT019,550.0525354917547
FDY52,OUT027,1577.8452471481955
FDB28,OUT046,3165.2194803483067
FDT36,OUT035,644.522762987146
FDV25,OUT017,3813.487402606391
NCN07,OUT027,3421.247565625851
FDC57,OUT017,3284.559819845285
FDQ03,OUT018,3447.370038787315
FDU23,OUT017,2839.460609058098
NCX41,OUT035,3574.845184385175
NCD06,OUT035,803.0448180827167
FDW08,OUT045,1618.3109185330445
NCU29,OUT017,2317.453330644354
NCE06,OUT013,2505.055845900889
FDV52,OUT010,299.87575970952867
FDB02,OUT017,2868.7548356813545
NCR18,OUT045,652.860190030713
FDK16,OUT049,1618.705318320162
NCQ29,OUT010,725.490039044597
FDZ01,OUT019,266.07436286318114
FDW27,OUT035,2690.8159397421814
FDD17,OUT018,3209.150998506696
FDW39,OUT013,2885.713601878374
DRH59,OUT045,1096.39788800515
FDS52,OUT013,1715.1630010901779
FDU40,OUT027,5570.81848309834
NCF54,OUT013,2731.563259077932
FDH46,OUT045,1695.1662297584967
NCP14,OUT049,1771.8844972171132
FDH50,OUT049,2996.0905975468986
DRF15,OUT010,382.7182539985986
FDV27,OUT027,2427.861122703165
NCJ06,OUT049,1951.5692283942094
FDN02,OUT018,2769.697872727505
FDQ51,OUT049,766.8172952036148
FDQ07,OUT017,3981.3468001678457
FDS45,OUT049,1717.6023622749879
NCJ06,OUT045,1870.7432642802964
FDD36,OUT035,1992.2043361792646
FDY25,OUT045,3131.2106383845635
FDU52,OUT046,2514.774793694972
DRK47,OUT017,3956.094317630118
NCL30,OUT017,2058.451430025648
FDN22,OUT035,4086.6593681260165
NCF30,OUT027,3164.0938962455048
FDK03,OUT035,4179.4083664200425
FDT45,OUT017,894.9582680507126
NCC54,OUT027,6325.596737941609
FDP08,OUT018,2781.4142057185704
FDU44,OUT046,2785.4425906516067
